cid	MDS_01	MDS_02	MDS_03	MDS_04	MDS_05	MDS_06	MDS_07	MDS_08	MDS_09	MDS_10	MDS_11	MDS_12	SESA	smiles	Substrate	strlen	NumValenceElectrons	NumHeteroatoms	MinPartialCharge	MaxPartialCharge	MinAbsPartialCharge	MaxAbsPartialCharge	MolecularWeight	HBondAcceptorCount	HBondDonorCount	RotatableBondCount	Complexity	HallKierAlpha	LabuteASA	NumRings	NumAmideBonds	NumBridgeheadAtoms	NumHeterocycles	NumLipinskiHBA	NumLipinskiHBD	NumSpiroAtoms	TPSA	NumAliphaticRings	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	FractionCSP3	Eccentricity	Asphericity	InertialShapeFactor	NPR1	NPR2	SpherocityIndex	RadiusOfGyration	MolLogP	MolMR	HeavyAtomCount	VanDerWaalsVolume	Charge	SASA	AtomStereoCount	BondStereoCount	C_O	C_O_noCOO	Al_OH	Ar_OH	methoxy	oxime	ester	Al_COO	Ar_COO	COO	COO2	ketone	ether	phenol	aldehyde	quatN	NH2	NH1	NH0	Ar_N	Ar_NH	aniline	Imine	nitrile	hdrzine	hdrzone	nitroso	N_O	nitro	azo	diazo	azide	amide	priamide	amidine	guanido	Nhpyrrole	imide	isocyan	isothiocyan	thiocyan	halogen	alkyl_halide	sulfide	SH	C_S	sulfone	sulfonamd	prisulfonamd	barbitur	urea	term_acetylene	imidazole	furan	thiophene	thiazole	oxazole	pyridine	piperdine	piperzine	morpholine	lactam	lactone	tetrazole	epoxide	unbrch_alkane	bicyclic	benzene	phos_acid	phos_ester	nitro_arom	nitro_arom_nonortho	dihydropyridine	phenol_noOrthoHbond	Al_OH_noTert	benzodiazepine	para_hydroxylation	allylic_oxid	aryl_methyl	Ndealkylation1	Ndealkylation2	alkyl_carbamate	ketone_Topliss	ArN	HOCCN	primary_alcohol	secondary_alcohol	tertiary_alcohol	coumarin	thiophenol	hydroxyamino	SolventExcludedVolume	VoidVolume	PackingDensity
101	-1.0934306287634137	0.5865045562257807	0.5901770604666624	0.9522805622522911	0.3828267425762349	-0.3244967493531869	-0.2644086036388195	0.05321792008602918	0.43024693300823036	0.06563683338240474	-0.03945974645122955	-0.588878354608187	96.32623291015625	CC(C)C=O	2-Methylpropanal	8	30	1	-0.30311196413781816	0.12201601225317348	0.12201601225317348	0.30311196413781816	72.10699999999996	1	0	3	197.16436636179583	-0.33	43.235363472405666	0	0	0	0	1	0	0	17.07	0	0	0	0	0	0	0	0	0	0.75	0.9178778938812742	0.2392216263137527	0.011829863008695098	0.3968629132636059	0.749002107526068	0.4397228129312983	1.5407383511124995	0.8412999999999999	20.901999999999994	5	67.366	0	131.94731988842892	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.490	2.124	0.969
102	-1.0043344954784528	0.5549447585694983	0.6965079716724251	0.7997035980649366	0.2670905685672283	-0.16816869049348357	-0.6354622795260467	-0.3734050001279328	0.7355802234590896	0.13663684088948239	-0.18699412617907227	-0.3973219383470778	126.47571563720703	CC(C)CCO	3-Methylbutanol	8	38	1	-0.3963660786745107	0.21003676811245672	0.21003676811245672	0.3963660786745107	88.14999999999993	1	1	5	284.5700807782033	-0.04	55.93956949775302	0	0	0	0	1	1	0	20.23	0	0	0	0	0	0	0	0	0	1.0	0.972419351397051	0.456591514340497	0.011441603047677338	0.2332393728094349	0.8531241069239938	0.32554384942040676	1.9450490881607652	1.0248	26.54079999999999	6	96.302	0	168.05640060573535	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	100.681	4.379	0.957
103	-0.9867125394566728	0.22722650117540125	0.7069559708116504	0.8176959833074129	0.39020779937660804	-0.31152421316433254	-0.43827356397113065	-0.545932167314867	0.8920254633402441	0.08854206368819424	-0.3451654792232046	-0.7925279875681515	130.8444061279297	CC(C=O)O	D-Lactaldehyde	8	30	2	-0.3859339672822644	0.21105699547572906	0.21105699547572906	0.3859339672822644	74.07899999999998	2	1	3	163.7005558050492	-0.37	38.941384367996655	0	0	0	0	2	1	0	37.3	0	0	0	0	0	0	0	0	0	0.6666666666666666	0.9294544382226128	0.2772800129444413	0.011499842090728407	0.3689369150251669	0.7088780472640299	0.40848846611353673	1.5307513475097492	-0.4339	17.7448	5	93.710	0	117.51220430206067	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	98.920	5.210	0.947
104	-0.9972314110784916	0.3667151508940585	0.6906551477833865	0.4741725421128962	0.3677979847566264	-0.4003889015213708	-0.7906383658806931	-0.6557202783129549	1.04635616028862	0.2145286040365707	-0.40729788873421247	-0.636458231152431	164.9335479736328	CC(C=O)O	D-Lactaldehyde	8	30	2	-0.3859339672822644	0.21105699547572906	0.21105699547572906	0.3859339672822644	74.07899999999998	2	1	3	163.7005558050492	-0.37	38.941384367996655	0	0	0	0	2	1	0	37.3	0	0	0	0	0	0	0	0	0	0.6666666666666666	0.9294544382226128	0.2772800129444413	0.011499842090728407	0.3689369150251669	0.7088780472640299	0.40848846611353673	1.5307513475097492	-0.4339	17.7448	5	119.169	0	117.51220430206067	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	127.163	7.994	0.937
105	-1.007915738439829	0.5558275975816436	0.6816375914708961	0.8081550753789596	0.2701881489121214	-0.16619200547150673	-0.6365092295764002	-0.35847037738119364	0.7317528209282852	0.14107898635616375	-0.18396400144595293	-0.4016582715373224	121.0560302734375	CC(C=O)O	D-Lactaldehyde	8	30	2	-0.3859339672822644	0.21105699547572906	0.21105699547572906	0.3859339672822644	74.07899999999998	2	1	3	163.7005558050492	-0.37	38.941384367996655	0	0	0	0	2	1	0	37.3	0	0	0	0	0	0	0	0	0	0.6666666666666666	0.9294544382226128	0.2772800129444413	0.011499842090728407	0.3689369150251669	0.7088780472640299	0.40848846611353673	1.5307513475097492	-0.4339	17.7448	5	89.990	0	117.51220430206067	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	94.668	4.678	0.951
106	-0.8564437776140018	0.7404070243263963	-0.19223607797265793	0.78465876477698	0.4695081113946708	-0.676216034021168	-0.6579557303639613	-0.017904072875294025	0.7511468405602078	0.05027865352748357	-0.059156409177241846	-0.3866215868289809	88.82096099853516	CC(C=O)O	L-Lactaldehyde	8	30	2	-0.3859339672822644	0.21105699547572906	0.21105699547572906	0.3859339672822644	74.07899999999998	2	1	3	163.7005558050492	-0.37	38.941384367996655	0	0	0	0	2	1	0	37.3	0	0	0	0	0	0	0	0	0	0.6666666666666666	0.9406150844998642	0.30715421834542106	0.013059689577788717	0.33947498112720104	0.7405972748846504	0.41928883514730225	1.5314308752640347	-0.4339	17.7448	5	64.435	0	118.89848331920952	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	65.129	0.694	0.989
107	-0.8754980983743766	0.7258457524339389	-0.3491935225452369	0.7886680130280638	0.5668474597038483	-0.5869627584805225	-0.6940079629063247	0.0020550059934657536	0.6936422628030594	0.14489072387374577	0.026745642917469826	-0.52647097817944	88.35564422607422	CC(C=O)O	L-Lactaldehyde	8	30	2	-0.3859339672822644	0.21105699547572906	0.21105699547572906	0.3859339672822644	74.07899999999998	2	1	3	163.7005558050492	-0.37	38.941384367996655	0	0	0	0	2	1	0	37.3	0	0	0	0	0	0	0	0	0	0.6666666666666666	0.9406150844998642	0.30715421834542106	0.013059689577788717	0.33947498112720104	0.7405972748846504	0.41928883514730225	1.5314308752640347	-0.4339	17.7448	5	64.613	0	118.89848331920952	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	65.257	0.644	0.990
108	-0.8613002307911425	0.9235113840195526	-0.14169918839255863	0.6469172083284401	0.5311429105658578	-0.16324863711808177	-0.6881801259083373	0.1415366076421138	0.5359470031014311	0.3444954774814639	-0.10008145140081387	-0.5284616595971423	90.34526824951172	CC(C=O)O	L-Lactaldehyde	8	30	2	-0.3859339672822644	0.21105699547572906	0.21105699547572906	0.3859339672822644	74.07899999999998	2	1	3	163.7005558050492	-0.37	38.941384367996655	0	0	0	0	2	1	0	37.3	0	0	0	0	0	0	0	0	0	0.6666666666666666	0.9406150844998642	0.30715421834542106	0.013059689577788717	0.33947498112720104	0.7405972748846504	0.41928883514730225	1.5314308752640347	-0.4339	17.7448	5	65.537	0	118.89848331920952	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	66.040	0.503	0.992
109	-1.0123279510038168	0.5595221010964738	0.8672986231894851	0.251786670922507	0.3049446426301193	-0.23661960891322295	-0.3768931806376717	0.21615262791409653	0.2798685194056636	-0.20154317696881638	0.009652519905048547	-0.11907134229348665	126.72537994384766	CC(C=O)O	Lactaldehyde	8	30	2	-0.3859339672822644	0.21105699547572906	0.21105699547572906	0.3859339672822644	74.07899999999998	2	1	3	163.7005558050492	-0.37	38.941384367996655	0	0	0	0	2	1	0	37.3	0	0	0	0	0	0	0	0	0	0.6666666666666666	0.9294134111225729	0.27224902118359734	0.012393035459174428	0.36904025691718684	0.7340354461609818	0.504667703915306	1.509376894719637	-0.4339	17.7448	5	89.636	0	117.59451316657756	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	93.892	4.256	0.955
110	-1.0425362609274567	-0.23675251770356975	0.3820161245471597	0.5707348154730905	0.24525733287524512	-0.2822596280155618	0.09859383126086743	0.7062468160312041	0.756471870955187	0.42659868578919646	-0.26882408423947507	-0.5881405744897982	102.747802734375	CC(C=O)O	Lactaldehyde	8	30	2	-0.3859339672822644	0.21105699547572906	0.21105699547572906	0.3859339672822644	74.07899999999998	2	1	3	163.7005558050492	-0.37	38.941384367996655	0	0	0	0	2	1	0	37.3	0	0	0	0	0	0	0	0	0	0.6666666666666666	0.9294134111225729	0.27224902118359734	0.012393035459174428	0.36904025691718684	0.7340354461609818	0.504667703915306	1.509376894719637	-0.4339	17.7448	5	71.028	0	117.59451316657756	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	73.363	2.335	0.968
111	-0.946128301900696	0.5369560513311062	1.221724785253761	0.5071816854094625	0.3917943536010866	-0.3677165749974458	-0.9349469588871573	-0.07370105325933647	-0.4218710686447887	-0.5797418715861421	0.8316552729769909	-0.03585889313397068	128.3660125732422	CC(C=O)O	Lactaldehyde	8	30	2	-0.3859339672822644	0.21105699547572906	0.21105699547572906	0.3859339672822644	74.07899999999998	2	1	3	163.7005558050492	-0.37	38.941384367996655	0	0	0	0	2	1	0	37.3	0	0	0	0	0	0	0	0	0	0.6666666666666666	0.9294134111225729	0.27224902118359734	0.012393035459174428	0.36904025691718684	0.7340354461609818	0.504667703915306	1.509376894719637	-0.4339	17.7448	5	89.916	0	117.59451316657756	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	95.467	5.551	0.942
